gun;tarih;saat;slot;platform;tema;baslik;metin;hashtagler;link;gorsel;alt_metin;seo_anahtar_kelimeler;blog_onerisi
2;22 Eyl 2026 Sal;12:30;ana;FB;Ürün;6200 SERİSİ SABİT BİLYALI;"6200 serisi, sanayide ve motosiklette en çok kullanılan sabit bilyalı rulman ailesi.

6200 → 10×30×9
6201 → 12×32×10
6202 → 15×35×11
6203 → 17×40×12
6204 → 20×47×14
6205 → 25×52×15

ZZ mi 2RS mi? Yarın anlatıyoruz. Fiyat ve stok için DM veya yamansarulman.com";#rulman #yamansarulman #rulmanfiyatları #sanayi #yedekparça #istanbul #ikitelli;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=seri6200;gonderiler/gun02_kare.png;6200 serisi rulman ölçü tablosu: 6200'den 6205'e iç çap, dış çap ve kalınlık;6204 rulman, 6203 rulman, 6200 serisi rulman ölçüleri;6200 serisi rulman ölçüleri ve kullanım alanları (ölçü tablosu sayfası)
2;22 Eyl 2026 Sal;18:30;story;IG;Story / anket;6200 SERİSİ SABİT BİLYALI;Anket etiketi ekle → soru: “Elinden en çok hangi seri geçiyor?”, seçenekler: “6200” / “6300” (etiketi görseldeki iki butonun üzerine yerleştir). Link etiketi: https://www.yamansarulman.com/?utm_source=instagram&utm_medium=story&utm_campaign=story (alt sağdaki yamansarulman.com kutusunun üzerine).;;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=story&utm_campaign=story;gonderiler/gun02_story.png;Dikey story: 6200 SERİSİ SABİT BİLYALI başlığı, günün gönderi fotoğrafı ve anket: Elinden en çok hangi seri geçiyor?;6204 rulman, 6203 rulman, 6200 serisi rulman ölçüleri;
2;22 Eyl 2026 Sal;18:30;story;FB;Story / anket;6200 SERİSİ SABİT BİLYALI;Anket etiketi ekle → soru: “Elinden en çok hangi seri geçiyor?”, seçenekler: “6200” / “6300” (etiketi görseldeki iki butonun üzerine yerleştir). Link etiketi: https://www.yamansarulman.com/?utm_source=instagram&utm_medium=story&utm_campaign=story (alt sağdaki yamansarulman.com kutusunun üzerine).;;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=story&utm_campaign=story;gonderiler/gun02_story.png;Dikey story: 6200 SERİSİ SABİT BİLYALI başlığı, günün gönderi fotoğrafı ve anket: Elinden en çok hangi seri geçiyor?;6204 rulman, 6203 rulman, 6200 serisi rulman ölçüleri;
3;23 Eyl 2026 Çar;09:00;sabah;IG;Bakım ipucu;KUTUYU KONTROL ET;"Bakım ipucu: Kutuyu kontrol et

Orijinal üründe kutu üzerindeki kod, lot numarası ve rulmanın üstündeki lazer markalama birbirini tutar. Uyuşmuyorsa takma, sor.

Kaydet; bakım günü lazım olur.";#rulmanteknik #makinebakım #bakımonarım #mühendislik #tekniker;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=sabah;gonderiler/gun03_sabah.png;Bakım ipucu kartı: KUTUYU KONTROL ET;orijinal rulman nasıl anlaşılır, sahte rulman, rulman kutusu;
3;23 Eyl 2026 Çar;09:00;sabah;FB;Bakım ipucu;KUTUYU KONTROL ET;"Bakım ipucu: Kutuyu kontrol et

Orijinal üründe kutu üzerindeki kod, lot numarası ve rulmanın üstündeki lazer markalama birbirini tutar. Uyuşmuyorsa takma, sor.

Kaydet; bakım günü lazım olur.";#rulmanteknik #makinebakım #bakımonarım #mühendislik #tekniker;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=sabah;gonderiler/gun03_sabah.png;Bakım ipucu kartı: KUTUYU KONTROL ET;orijinal rulman nasıl anlaşılır, sahte rulman, rulman kutusu;
3;23 Eyl 2026 Çar;12:30;ana;IG;Teknik;ZZ Mİ, 2RS Mİ?;"ZZ mi 2RS mi? En çok aldığımız soru.

ZZ (metal kapak): yüksek devir, düşük sürtünme, kuru ve temiz ortam. Elektrik motoru, fan, spindle.

2RS (kauçuk keçe): su, çamur ve toza karşı tam koruma; gres içinde kalır. Motosiklet ve scooter tekerlekleri, dış ortam.

Kural: Tekerlekse 2RS, motorsa ZZ. Emin değilseniz ölçüyü yazın, birlikte seçelim.";#rulmanteknik #makinebakım #bakımonarım #mühendislik #tekniker;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=zz-2rs;gonderiler/gun03_kare.png;ZZ metal kapaklı ve 2RS kauçuk keçeli rulman karşılaştırma grafiği;zz rulman 2rs rulman farkı, kapaklı rulman keçeli rulman;ZZ ve 2RS rulman farkı nedir? Hangi uygulamada hangisi kullanılır?
3;23 Eyl 2026 Çar;12:30;ana;FB;Teknik;ZZ Mİ, 2RS Mİ?;"ZZ mi 2RS mi? En çok aldığımız soru.

ZZ (metal kapak): yüksek devir, düşük sürtünme, kuru ve temiz ortam. Elektrik motoru, fan, spindle.

2RS (kauçuk keçe): su, çamur ve toza karşı tam koruma; gres içinde kalır. Motosiklet ve scooter tekerlekleri, dış ortam.

Kural: Tekerlekse 2RS, motorsa ZZ. Emin değilseniz ölçüyü yazın, birlikte seçelim.";#rulmanteknik #makinebakım #bakımonarım #mühendislik #tekniker;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=zz-2rs;gonderiler/gun03_kare.png;ZZ metal kapaklı ve 2RS kauçuk keçeli rulman karşılaştırma grafiği;zz rulman 2rs rulman farkı, kapaklı rulman keçeli rulman;ZZ ve 2RS rulman farkı nedir? Hangi uygulamada hangisi kullanılır?
3;23 Eyl 2026 Çar;09:00;ana;LI;Teknik;ZZ Mİ, 2RS Mİ?;"Rulman seçiminde kapak tipi çoğu zaman ihmal edilir; oysa arızaların önemli bir kısmı yanlış kapak seçiminden kaynaklanır.

ZZ (metal kapak): düşük sürtünme ve yüksek devir; toz koruması sağlar, sıvıya karşı korumaz. Elektrik motorları ve fanlar için idealdir.

2RS (kauçuk keçe): su ve çamura karşı temas eden sızdırmazlık; gres rulman içinde kalır. Tekerlek, dış ortam ve yıkamaya maruz uygulamalar için tercih edilir.

Doğru seçim, doğru ömür. Teknik danışmanlık için ekibimizle iletişime geçebilirsiniz.";#rulmanteknik #makinebakım #bakımonarım #mühendislik;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=zz-2rs;gonderiler/gun03_linkedin.png;ZZ metal kapaklı ve 2RS kauçuk keçeli rulman karşılaştırma grafiği;zz rulman 2rs rulman farkı, kapaklı rulman keçeli rulman;ZZ ve 2RS rulman farkı nedir? Hangi uygulamada hangisi kullanılır?
3;23 Eyl 2026 Çar;18:30;story;IG;Story / anket;ZZ Mİ, 2RS Mİ?;Anket etiketi ekle → soru: “Senin tercihin?”, seçenekler: “ZZ” / “2RS” (etiketi görseldeki iki butonun üzerine yerleştir). Link etiketi: https://www.yamansarulman.com/?utm_source=instagram&utm_medium=story&utm_campaign=story (alt sağdaki yamansarulman.com kutusunun üzerine).;;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=story&utm_campaign=story;gonderiler/gun03_story.png;Dikey story: ZZ Mİ, 2RS Mİ? başlığı, günün gönderi fotoğrafı ve anket: Senin tercihin?;zz rulman 2rs rulman farkı, kapaklı rulman keçeli rulman;
3;23 Eyl 2026 Çar;18:30;story;FB;Story / anket;ZZ Mİ, 2RS Mİ?;Anket etiketi ekle → soru: “Senin tercihin?”, seçenekler: “ZZ” / “2RS” (etiketi görseldeki iki butonun üzerine yerleştir). Link etiketi: https://www.yamansarulman.com/?utm_source=instagram&utm_medium=story&utm_campaign=story (alt sağdaki yamansarulman.com kutusunun üzerine).;;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=story&utm_campaign=story;gonderiler/gun03_story.png;Dikey story: ZZ Mİ, 2RS Mİ? başlığı, günün gönderi fotoğrafı ve anket: Senin tercihin?;zz rulman 2rs rulman farkı, kapaklı rulman keçeli rulman;
4;24 Eyl 2026 Per;09:00;sabah;IG;Günün kodu;6301 2RS;"Günün kodu: 6301 2RS
Ölçü: 12 × 37 × 12 mm (iç çap × dış çap × kalınlık)
Kullanım: Motosiklet ön tekerlek, Jeneratör, Küçük redüktör

6201 ile aynı iç çap, daha kalın bilezik ve büyük bilya: daha fazla yük.

Stokta. Kodu yaz, aynı gün kargolayalım: yamansarulman.com";#motosiklet #motosikletyedekparça #tekerlekrulmanı #motorrulmanı #honda #yamaha #bajaj #ktm #cfmoto #mondial;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=sabah;gonderiler/gun04_sabah.png;Günün kodu kartı: 6301 2RS rulman, 12 × 37 × 12 mm;6301 rulman, 6301 2rs ölçüleri, motosiklet ön tekerlek rulmanı;
4;24 Eyl 2026 Per;09:00;sabah;FB;Günün kodu;6301 2RS;"Günün kodu: 6301 2RS
Ölçü: 12 × 37 × 12 mm (iç çap × dış çap × kalınlık)
Kullanım: Motosiklet ön tekerlek, Jeneratör, Küçük redüktör

6201 ile aynı iç çap, daha kalın bilezik ve büyük bilya: daha fazla yük.

Stokta. Kodu yaz, aynı gün kargolayalım: yamansarulman.com";#motosiklet #motosikletyedekparça #tekerlekrulmanı #motorrulmanı #honda #yamaha #bajaj #ktm #cfmoto #mondial;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=sabah;gonderiler/gun04_sabah.png;Günün kodu kartı: 6301 2RS rulman, 12 × 37 × 12 mm;6301 rulman, 6301 2rs ölçüleri, motosiklet ön tekerlek rulmanı;
4;24 Eyl 2026 Per;12:30;ana;IG;Uygulama;TEKERLEK RULMANI SETLERİ;"Tekerlekten uğultu mu geliyor? Direksiyonda titreşim mi var? Büyük ihtimalle tekerlek rulmanı.

Honda, Yamaha, Bajaj, KTM, CFMOTO, Mondial, RKS, Kuba, Suzuki, TVS, Yuki, Arora, Falcon… 26 marka için ön ve arka tekerlek rulman setlerimiz hazır.

Modelinizi yazın, doğru seti aynı gün kargolayalım.";#motosiklet #motosikletyedekparça #tekerlekrulmanı #motorrulmanı #honda #yamaha #bajaj #ktm #cfmoto #mondial;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=moto-tekerlek;gonderiler/gun04_kare.png;"Motosiklet ön tekerlek ve fren diski fotoğrafı; Yamansa motosiklet tekerlek rulmanı setleri";motosiklet tekerlek rulmanı, honda tekerlek rulmanı, bajaj rulman;Motosiklet tekerlek rulmanı nasıl anlaşılır, nasıl değişir? Marka-model ölçü rehberi
4;24 Eyl 2026 Per;12:30;ana;FB;Uygulama;TEKERLEK RULMANI SETLERİ;"Tekerlekten uğultu mu geliyor? Direksiyonda titreşim mi var? Büyük ihtimalle tekerlek rulmanı.

Honda, Yamaha, Bajaj, KTM, CFMOTO, Mondial, RKS, Kuba, Suzuki, TVS, Yuki, Arora, Falcon… 26 marka için ön ve arka tekerlek rulman setlerimiz hazır.

Modelinizi yazın, doğru seti aynı gün kargolayalım.";#motosiklet #motosikletyedekparça #tekerlekrulmanı #motorrulmanı #honda #yamaha #bajaj #ktm #cfmoto #mondial;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=moto-tekerlek;gonderiler/gun04_kare.png;"Motosiklet ön tekerlek ve fren diski fotoğrafı; Yamansa motosiklet tekerlek rulmanı setleri";motosiklet tekerlek rulmanı, honda tekerlek rulmanı, bajaj rulman;Motosiklet tekerlek rulmanı nasıl anlaşılır, nasıl değişir? Marka-model ölçü rehberi
4;24 Eyl 2026 Per;09:00;ana;LI;Uygulama;TEKERLEK RULMANI SETLERİ;"Motosiklet servisleri için en sık değişen parçalardan biri tekerlek rulmanı. Yanlış ölçü ya da düşük kaliteli rulman, birkaç ay içinde aynı arızayı tekrarlatır.

Yamansa olarak 26 motosiklet markası için model bazlı ön/arka tekerlek rulman setleri hazırladık; SKF, FAG, ORS veya Yamansa markalı alternatiflerle. Servisler ve yedek parça bayileri için toplu fiyatlandırma mevcuttur.";#motosiklet #motosikletyedekparça #tekerlekrulmanı #motorrulmanı;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=moto-tekerlek;gonderiler/gun04_linkedin.png;"Motosiklet ön tekerlek ve fren diski fotoğrafı; Yamansa motosiklet tekerlek rulmanı setleri";motosiklet tekerlek rulmanı, honda tekerlek rulmanı, bajaj rulman;Motosiklet tekerlek rulmanı nasıl anlaşılır, nasıl değişir? Marka-model ölçü rehberi
4;24 Eyl 2026 Per;18:30;story;IG;Story / anket;TEKERLEK RULMANI SETLERİ;Anket etiketi ekle → soru: “Tekerlek rulmanını en son ne zaman değiştirdin?”, seçenekler: “1 yıl içinde” / “Hatırlamıyorum” (etiketi görseldeki iki butonun üzerine yerleştir). Link etiketi: https://www.yamansarulman.com/?utm_source=instagram&utm_medium=story&utm_campaign=story (alt sağdaki yamansarulman.com kutusunun üzerine).;;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=story&utm_campaign=story;gonderiler/gun04_story.png;Dikey story: TEKERLEK RULMANI SETLERİ başlığı, günün gönderi fotoğrafı ve anket: Tekerlek rulmanını en son ne zaman değiştirdin?;motosiklet tekerlek rulmanı, honda tekerlek rulmanı, bajaj rulman;
4;24 Eyl 2026 Per;18:30;story;FB;Story / anket;TEKERLEK RULMANI SETLERİ;Anket etiketi ekle → soru: “Tekerlek rulmanını en son ne zaman değiştirdin?”, seçenekler: “1 yıl içinde” / “Hatırlamıyorum” (etiketi görseldeki iki butonun üzerine yerleştir). Link etiketi: https://www.yamansarulman.com/?utm_source=instagram&utm_medium=story&utm_campaign=story (alt sağdaki yamansarulman.com kutusunun üzerine).;;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=story&utm_campaign=story;gonderiler/gun04_story.png;Dikey story: TEKERLEK RULMANI SETLERİ başlığı, günün gönderi fotoğrafı ve anket: Tekerlek rulmanını en son ne zaman değiştirdin?;motosiklet tekerlek rulmanı, honda tekerlek rulmanı, bajaj rulman;
5;25 Eyl 2026 Cum;09:00;sabah;IG;Doğru mu, yanlış mı?;ZZ rulman yeniden greslenebilir.;"Doğru mu, yanlış mı?

""ZZ rulman yeniden greslenebilir.""

Cevap: YANLIŞ. Metal kapaklar sökülmek için tasarlanmamıştır; rulman fabrikada ömür boyu yetecek gresle gelir. Bittiğinde komple değişir.";#rulmanteknik #makinebakım #bakımonarım #mühendislik #tekniker;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=sabah;gonderiler/gun05_sabah.png;Doğru mu yanlış mı kartı: ZZ rulman yeniden greslenebilir.;zz rulman gresleme, kapaklı rulman yağlama;
5;25 Eyl 2026 Cum;09:00;sabah;FB;Doğru mu, yanlış mı?;ZZ rulman yeniden greslenebilir.;"Doğru mu, yanlış mı?

""ZZ rulman yeniden greslenebilir.""

Cevap: YANLIŞ. Metal kapaklar sökülmek için tasarlanmamıştır; rulman fabrikada ömür boyu yetecek gresle gelir. Bittiğinde komple değişir.";#rulmanteknik #makinebakım #bakımonarım #mühendislik #tekniker;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=sabah;gonderiler/gun05_sabah.png;Doğru mu yanlış mı kartı: ZZ rulman yeniden greslenebilir.;zz rulman gresleme, kapaklı rulman yağlama;
5;25 Eyl 2026 Cum;12:30;ana;IG;Marka;ORİJİNAL. FATURALI. STOKTAN.;"Piyasada sahte rulman var, biliyoruz. Bizde yok.

SKF • FAG • ORS • NMB • TPI • Yamansa

Her ürün orijinal, faturalı ve stoktan. 1986'dan beri aynı adreste, aynı ilkeyle.

Marka tercihini yaz, fiyatı gönderelim.";#rulman #yamansarulman #rulmanfiyatları #sanayi #yedekparça #istanbul #ikitelli;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=markalar;gonderiler/gun05_kare.png;"SKF, FAG, ORS, NMB, TPI ve Yamansa marka logotipleri; orijinal faturalı rulman";skf rulman, fag rulman, ors rulman, orijinal rulman;Sahte rulman nasıl anlaşılır? Orijinal SKF/FAG rulman kontrol rehberi
5;25 Eyl 2026 Cum;12:30;ana;FB;Marka;ORİJİNAL. FATURALI. STOKTAN.;"Piyasada sahte rulman var, biliyoruz. Bizde yok.

SKF • FAG • ORS • NMB • TPI • Yamansa

Her ürün orijinal, faturalı ve stoktan. 1986'dan beri aynı adreste, aynı ilkeyle.

Marka tercihini yaz, fiyatı gönderelim.";#rulman #yamansarulman #rulmanfiyatları #sanayi #yedekparça #istanbul #ikitelli;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=markalar;gonderiler/gun05_kare.png;"SKF, FAG, ORS, NMB, TPI ve Yamansa marka logotipleri; orijinal faturalı rulman";skf rulman, fag rulman, ors rulman, orijinal rulman;Sahte rulman nasıl anlaşılır? Orijinal SKF/FAG rulman kontrol rehberi
5;25 Eyl 2026 Cum;18:30;story;IG;Story / anket;ORİJİNAL. FATURALI. STOKTAN.;Anket etiketi ekle → soru: “Rulmanda önceliğin?”, seçenekler: “Marka” / “Fiyat” (etiketi görseldeki iki butonun üzerine yerleştir). Link etiketi: https://www.yamansarulman.com/?utm_source=instagram&utm_medium=story&utm_campaign=story (alt sağdaki yamansarulman.com kutusunun üzerine).;;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=story&utm_campaign=story;gonderiler/gun05_story.png;Dikey story: ORİJİNAL. FATURALI. STOKTAN. başlığı, günün gönderi fotoğrafı ve anket: Rulmanda önceliğin?;skf rulman, fag rulman, ors rulman, orijinal rulman;
5;25 Eyl 2026 Cum;18:30;story;FB;Story / anket;ORİJİNAL. FATURALI. STOKTAN.;Anket etiketi ekle → soru: “Rulmanda önceliğin?”, seçenekler: “Marka” / “Fiyat” (etiketi görseldeki iki butonun üzerine yerleştir). Link etiketi: https://www.yamansarulman.com/?utm_source=instagram&utm_medium=story&utm_campaign=story (alt sağdaki yamansarulman.com kutusunun üzerine).;;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=story&utm_campaign=story;gonderiler/gun05_story.png;Dikey story: ORİJİNAL. FATURALI. STOKTAN. başlığı, günün gönderi fotoğrafı ve anket: Rulmanda önceliğin?;skf rulman, fag rulman, ors rulman, orijinal rulman;
6;26 Eyl 2026 Cmt;09:00;sabah;IG;Günün kodu;608 ZZ;"Günün kodu: 608 ZZ
Ölçü: 8 × 22 × 7 mm (iç çap × dış çap × kalınlık)
Kullanım: Kaykay & paten, 3D yazıcı, Fan & hobi

Dünyanın en çok üretilen rulmanı. ABEC sınıfı yükseldikçe tolerans daralır.

Stokta. Kodu yaz, aynı gün kargolayalım: yamansarulman.com";#kaykay #paten #608rulman #longboard #rulman #yamansarulman;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=sabah;gonderiler/gun06_sabah.png;Günün kodu kartı: 608 ZZ rulman, 8 × 22 × 7 mm;608 rulman, 608zz, kaykay rulmanı 608;
6;26 Eyl 2026 Cmt;09:00;sabah;FB;Günün kodu;608 ZZ;"Günün kodu: 608 ZZ
Ölçü: 8 × 22 × 7 mm (iç çap × dış çap × kalınlık)
Kullanım: Kaykay & paten, 3D yazıcı, Fan & hobi

Dünyanın en çok üretilen rulmanı. ABEC sınıfı yükseldikçe tolerans daralır.

Stokta. Kodu yaz, aynı gün kargolayalım: yamansarulman.com";#kaykay #paten #608rulman #longboard #rulman #yamansarulman;https://www.yamansarulman.com/?utm_source=instagram&utm_medium=social&utm_campaign=sabah;gonderiler/gun06_sabah.png;Günün kodu kartı: 608 ZZ rulman, 8 × 22 × 7 mm;608 rulman, 608zz, kaykay rulmanı 608;
